Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.520884922	1.123451146	3169.130	5161.751	0.5631	4565.039	1033.594	MYAX	C2	MODEL	13
2	Spectrogram 1	1	0.732113336	1.076779585	1740.789	3737.794	0.2786	3359.180	1205.859	HARU	C2	MODEL	13
3	Spectrogram 1	1	3.934281824	4.007619080	1868.889	6264.673	0.0580	5598.633	2153.320	HARU	C1	MODEL	13
4	Spectrogram 1	1	12.534896524	12.626140501	2686.336	6204.352	0.0697	5598.633	1894.922	HARU	C1	MODEL	13
5	Spectrogram 1	1	15.444149550	15.629171016	2767.409	4238.305	0.1509	3703.711	430.664	MYSP	C3	MODEL	13
6	Spectrogram 1	1	19.019603942	19.254400459	2365.688	4299.019	0.2148	3531.445	861.328	MYSP	C3	MODEL	13
8	Spectrogram 1	1	46.371457598	46.447044663	3883.300	5624.089	0.0697	4909.570	516.797	MYSP	C1	MODEL	13
9	Spectrogram 1	1	46.707071932	46.760410858	3660.121	5311.640	0.0406	4823.438	430.664	MYSP	C1	MODEL	13
10	Spectrogram 1	1	46.980433931	47.060442322	3883.300	4865.283	0.0639	4565.039	344.531	MYSP	C1	MODEL	13
11	Spectrogram 1	1	49.126204776	49.562957174	2187.146	3879.458	0.3773	3186.914	689.062	MYLO	C1	MODEL	13
