Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
1	Spectrogram 1	1	0.691167597	2.022476997	1601.923	4852.885	0.9230	3875.977	1464.258	HARU	C2	MODEL	1
2	Spectrogram 1	1	2.138444714	2.272967267	850.120	7119.759	0.0755	5340.234	1550.391	HARU	C1	MODEL	1
3	Spectrogram 1	1	4.457799068	5.441205314	2073.077	5795.192	0.8475	5340.234	1636.523	MYLO	C4	MODEL	1
4	Spectrogram 1	1	5.936153053	6.348998128	1413.462	4361.538	0.3193	2842.383	430.664	THAR	B2	MODEL	1
5	Spectrogram 1	1	6.887902997	7.755341526	1909.091	5727.273	0.6850	4995.703	1981.055	MYLO	C4	MODEL	1
6	Spectrogram 1	1	10.125721675	11.095211795	835.227	5464.773	0.5108	3617.578	1894.922	MYLO	C4	MODEL	1
7	Spectrogram 1	1	13.477833593	14.461239839	978.409	5313.253	0.7837	4737.305	1378.125	MYLO	C4	MODEL	1
8	Spectrogram 1	1	16.963572270	18.081501068	1884.615	5775.000	0.8766	4995.703	2325.586	MYLO	C4	MODEL	1
9	Spectrogram 1	1	18.126809538	18.219583712	706.731	7114.423	0.0697	5426.367	1033.594	HARU	C1	MODEL	1
10	Spectrogram 1	1	20.563706829	21.679126505	1002.273	5870.455	0.9810	5426.367	2067.188	MYLO	C4	MODEL	1
11	Spectrogram 1	1	21.060048661	21.672358210	1814.815	3931.807	0.5224	3531.445	775.195	HARU	C2	MODEL	1
12	Spectrogram 1	1	22.150145207	22.975835357	1330.864	3992.593	0.5979	3100.781	947.461	HARU	C2	MODEL	1
13	Spectrogram 1	1	23.070739117	23.195984252	956.386	6347.727	0.1045	5684.766	430.664	HARU	C1	MODEL	1
14	Spectrogram 1	1	23.683048666	24.360300138	1912.771	5536.364	0.5805	5340.234	1033.594	MYLO	C4	MODEL	1
15	Spectrogram 1	1	25.085514906	25.215398750	531.325	5894.318	0.1161	5512.500	430.664	HARU	C1	MODEL	1
16	Spectrogram 1	1	27.804125630	28.458183557	2076.136	4781.928	0.3947	3617.578	1033.594	MYLO	C4	MODEL	1
17	Spectrogram 1	1	31.224836744	32.189688155	2019.036	5047.590	0.8011	4478.906	1205.859	MYLO	C4	MODEL	1
18	Spectrogram 1	1	32.110830107	32.254630077	796.988	6235.157	0.1393	5598.633	430.664	HARU	C1	MODEL	1
19	Spectrogram 1	1	35.347715873	35.570373891	1672.264	3559.880	0.1625	2756.250	258.398	THAR	B2	MODEL	1
20	Spectrogram 1	1	36.252264071	36.785715572	1935.049	5924.594	0.4586	5512.500	947.461	MYLO	C2	MODEL	1
21	Spectrogram 1	1	37.523270257	37.806231488	1815.601	3535.645	0.2032	2756.250	258.398	THAR	B1	MODEL	1
22	Spectrogram 1	1	38.583747891	38.746102696	425.060	5852.925	0.1335	4306.641	3100.781	HARU	C1	MODEL	1
23	Spectrogram 1	1	39.001231675	39.145031644	531.325	5685.699	0.1219	5426.367	947.461	HARU	C1	MODEL	1
24	Spectrogram 1	1	41.821419780	42.526650293	2284.699	4992.904	0.5747	4478.906	1205.859	MYLO	C4	MODEL	1
25	Spectrogram 1	1	43.033195581	43.316156812	1648.375	3870.098	0.1800	2842.383	344.531	THAR	B1	MODEL	1
26	Spectrogram 1	1	44.836580440	45.170567467	1648.375	4180.661	0.2380	3186.914	775.195	THAR	B1	MODEL	1
27	Spectrogram 1	1	45.383948068	46.126141461	2317.281	5791.446	0.6502	5426.367	1033.594	MYLO	C4	MODEL	1
28	Spectrogram 1	1	46.036708453	46.138760044	903.253	6805.556	0.0871	5512.500	1378.125	HARU	C1	MODEL	1
29	Spectrogram 1	1	46.826586476	47.086354164	1624.485	3463.976	0.1741	2842.383	344.531	THAR	B1	MODEL	1
30	Spectrogram 1	1	49.200184688	50.016597420	903.253	5016.793	0.6618	4392.773	1291.992	MYLO	C4	MODEL	1
31	Spectrogram 1	1	49.793939403	50.090816760	1672.264	3535.645	0.2148	2842.383	344.531	THAR	B1	MODEL	1
32	Spectrogram 1	1	52.349867901	52.702409762	1863.380	3440.087	0.2496	2842.383	344.531	THAR	B2	MODEL	1
33	Spectrogram 1	1	53.706666393	54.453498495	1451.852	4113.580	0.5341	3445.312	1205.859	HARU	C2	MODEL	
34	Spectrogram 1	1	54.761416004	55.540719067	1361.701	5375.135	0.6037	5167.969	1894.922	MYLO	C4	MODEL	1
35	Spectrogram 1	1	54.933048227	55.067570779	690.723	6378.494	0.1103	5340.234	2153.320	HARU	C1	MODEL	1
36	Spectrogram 1	1	55.234564293	55.424751350	690.723	6712.947	0.1567	5426.367	1291.992	HARU	C1	MODEL	1
37	Spectrogram 1	1	55.893260929	56.013867355	531.325	6474.052	0.0987	5512.500	947.461	HARU	C1	MODEL	1
38	Spectrogram 1	1	57.131796154	57.373009007	1696.154	3702.871	0.1683	2842.383	258.398	THAR	B1	MODEL	1
39	Spectrogram 1	1	57.354454172	57.507531559	1328.313	7023.510	0.1161	6201.562	947.461	THAR	P2	MODEL	1
40	Spectrogram 1	1	57.767299247	57.934292761	1051.138	7262.405	0.1219	5857.031	775.195	THAR	P2	MODEL	1
41	Spectrogram 1	1	58.110563691	58.259002370	1647.108	7190.737	0.1277	6029.297	861.328	THAR	P2	MODEL	1
42	Spectrogram 1	1	58.286834622	58.430634592	531.325	7835.753	0.1161	5598.633	1119.727	HARU	C1	MODEL	1
