Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	CALL	EXP	TRIAL
1	Spectrogram 1	1	0.485535712	0.578510636	2732.283	5800.109	0.0522	4909.570	1291.992	HARU	C1	LOLA	22
2	Spectrogram 1	1	0.664598528	0.733468841	2310.000	5656.304	0.0580	4737.305	1378.125	HARU	C1	LOLA	22
3	Spectrogram 1	1	0.816113218	0.909088142	2415.000	5560.435	0.0755	4392.773	1291.992	HARU	C1	LOLA	22
4	Spectrogram 1	1	1.008950096	1.123890723	2457.000	5704.239	0.0813	4565.039	1119.727	HARU	C1	LOLA	22
5	Spectrogram 1	1	1.330769564	1.421231199	2729.429	5611.223	0.0580	4565.039	1119.727	HARU	C1	LOLA	22
6	Spectrogram 1	1	1.652887530	1.756193001	2709.000	6867.000	0.0871	5167.969	1378.125	HARU	C1	LOLA	22
7	Spectrogram 1	1	1.917918340	2.005096447	2588.478	5800.109	0.0697	4737.305	775.195	HARU	C1	LOLA	22
8	Spectrogram 1	1	2.241728713	2.307782755	2814.000	6423.261	0.0522	5167.969	1550.391	HARU	C1	LOLA	22
10	Spectrogram 1	1	2.801480229	2.938137801	2730.000	6135.652	0.1103	5081.836	1033.594	HARU	C1	LOLA	22
11	Spectrogram 1	1	9.272140394	9.475307819	2867.489	5290.022	0.1567	4651.172	775.195	THAR	P3	LOLA	22
