Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
1	Spectrogram 1	1	0.016665708	1.169015956	1425.285	5868.821	0.9752	4737.305	1808.789	CR	C1	LOLA	5
1	Spectrogram 2	1	0.016665708	1.169015956	1425.285	5868.821	0.9752	4780.371	1851.855	CR	C1	LOLA	5
2	Spectrogram 1	1	1.232510126	1.895805298	2027.111	5419.418	0.6095	4478.906	1550.391	MYLO	C3	LOLA	5
2	Spectrogram 2	1	1.232510126	1.895805298	2027.111	5419.418	0.6037	4478.906	1593.457	MYLO	C3	LOLA	5
3	Spectrogram 1	1	1.551375548	1.662386320	533.468	4943.468	0.0813	4048.242	1378.125	HARU	C1	LOLA	5
3	Spectrogram 2	1	1.551375548	1.662386320	533.468	4943.468	0.0813	4134.375	1421.191	HARU	C1	LOLA	5
4	Spectrogram 1	1	1.832842246	1.962115407	1458.145	5476.935	0.0871	4220.508	1722.656	MYAX	C4	LOLA	5
4	Spectrogram 2	1	1.832842246	1.962115407	1458.145	5476.935	0.0929	4263.574	1765.723	MYAX	C4	LOLA	5
5	Spectrogram 1	1	2.209944167	2.346643614	1707.097	5227.984	0.0987	4392.773	1981.055	MYAX	C4	LOLA	5
5	Spectrogram 2	1	2.209944167	2.346643614	1707.097	5227.984	0.0929	4349.707	1937.988	MYAX	C4	LOLA	5
6	Spectrogram 1	1	2.744741354	3.499614608	2599.049	4778.897	0.6269	4392.773	947.461	MYAX	C2	LOLA	5
6	Spectrogram 2	1	2.744741354	3.499614608	2599.049	4778.897	0.6269	4349.707	990.527	MYAX	C2	LOLA	5
7	Spectrogram 1	1	3.373147911	3.447309846	3269.772	6792.823	0.0464	4737.305	516.797	MYAX	C4	LOLA	5
7	Spectrogram 2	1	3.373147911	3.447309846	3269.772	6792.823	0.0464	4737.305	516.797	MYAX	C4	LOLA	5
8	Spectrogram 1	1	3.983902405	4.125315626	2916.290	6828.387	0.0929	5081.836	1464.258	MYAX	C3	LOLA	5
8	Spectrogram 2	1	3.983902405	4.125315626	2916.290	6828.387	0.0929	5081.836	1507.324	MYAX	C3	LOLA	5
9	Spectrogram 1	1	4.814289385	5.588589525	2525.081	5797.016	0.6153	4823.438	947.461	MYLO	C2	LOLA	5
9	Spectrogram 2	1	4.814289385	5.588589525	2525.081	5797.016	0.6037	4866.504	990.527	MYLO	C2	LOLA	5
10	Spectrogram 1	1	5.649645450	5.874442264	2382.823	6259.355	0.1393	5081.836	1464.258	MYLO	C5	LOLA	5
10	Spectrogram 2	1	5.649645450	5.874442264	2382.823	6259.355	0.1277	5081.836	1291.992	MYLO	C5	LOLA	5
11	Spectrogram 1	1	7.659099060	8.261332502	1422.581	6579.435	0.4818	4306.641	1808.789	MYLO	C1	LOLA	5
11	Spectrogram 2	1	7.659099060	8.261332502	1422.581	6579.435	0.4876	4349.707	1851.855	MYLO	C1	LOLA	5
12	Spectrogram 1	1	8.364017466	8.605465897	1529.274	6010.403	0.1625	4737.305	1119.727	MYME	C1	LOLA	5
12	Spectrogram 2	1	8.364017466	8.605465897	1529.274	6010.403	0.1741	4737.305	1076.660	MYME	C1	LOLA	5
13	Spectrogram 1	1	9.235452032	9.793281164	2347.258	5761.452	0.4528	4909.570	1378.125	MYLO	C1	LOLA	5
13	Spectrogram 2	1	9.235452032	9.793281164	2347.258	5761.452	0.4528	4952.637	1421.191	MYLO	C1	LOLA	5
14	Spectrogram 1	1	10.698425102	11.003704726	1173.629	6117.097	0.2148	4823.438	1119.727	MYME	C1	LOLA	5
14	Spectrogram 2	1	10.698425102	11.003704726	1173.629	6117.097	0.2090	4866.504	1205.859	MYME	C1	LOLA	5
15	Spectrogram 1	1	11.141073894	11.360320170	2453.952	5441.371	0.1393	4995.703	1636.523	MYLO	C5	LOLA	5
15	Spectrogram 2	1	11.141073894	11.360320170	2453.952	5441.371	0.1393	4995.703	1679.590	MYLO	C5	LOLA	5
16	Spectrogram 1	1	12.068013846	12.290035391	2667.339	6152.661	0.1625	4823.438	1291.992	MYLO	C5	LOLA	5
16	Spectrogram 2	1	12.068013846	12.290035391	2667.339	6152.661	0.1625	4780.371	1248.926	MYLO	C5	LOLA	5
17	Spectrogram 1	1	12.548135437	13.327986115	1920.484	6117.097	0.6792	4737.305	1119.727	MYLO	C2	LOLA	5
17	Spectrogram 2	1	12.548135437	13.327986115	1920.484	6117.097	0.6734	4780.371	1119.727	MYLO	C2	LOLA	5
18	Spectrogram 1	1	13.249784495	13.516210350	1493.710	4445.565	0.2380	4048.242	861.328	MYME	C1	LOLA	5
18	Spectrogram 2	1	13.249784495	13.516210350	1493.710	4445.565	0.2322	4091.309	818.262	MYME	C1	LOLA	5
19	Spectrogram 1	1	14.109386246	14.314435415	2347.917	5461.458	0.1451	5081.836	1636.523	MYLO	C5	LOLA	5
19	Spectrogram 2	1	14.109386246	14.314435415	2347.917	5461.458	0.1393	5081.836	1679.590	MYLO	C5	LOLA	5
20	Spectrogram 1	1	15.242118021	15.448772799	1884.919	6370.919	0.1509	4909.570	1119.727	MYME	C1	LOLA	5
20	Spectrogram 2	1	15.242118021	15.448772799	1884.919	6370.919	0.1509	4909.570	1119.727	MYME	C1	LOLA	5
21	Spectrogram 1	1	15.722412609	16.394027784	2523.546	6294.919	0.5341	4823.438	1119.727	MYLO	C2	LOLA	5
21	Spectrogram 2	1	15.722412609	16.394027784	2523.546	6294.919	0.5457	4823.438	1119.727	MYLO	C2	LOLA	5
22	Spectrogram 1	1	16.141478276	16.327421320	2560.645	5761.452	0.1393	4823.438	947.461	MYME	C1	LOLA	5
22	Spectrogram 2	1	16.141478276	16.327421320	2560.645	5761.452	0.1509	4780.371	904.395	MYME	C1	LOLA	5
23	Spectrogram 1	1	16.902185050	17.099152587	2275.328	5419.418	0.1277	4909.570	1464.258	MYLO	C5	LOLA	5
23	Spectrogram 2	1	16.902185050	17.099152587	2275.328	5419.418	0.1393	4909.570	1507.324	MYLO	C5	LOLA	5
24	Spectrogram 1	1	18.565841788	19.032087033	2880.726	5832.581	0.3135	3875.977	775.195	MYLO	C1	LOLA	5
24	Spectrogram 2	1	18.565841788	19.032087033	2880.726	5832.581	0.3135	3832.910	775.195	MYLO	C1	LOLA	5
25	Spectrogram 1	1	19.448377431	20.156071106	2316.698	5548.065	0.5166	3789.844	1464.258	MYLO	C4	LOLA	5
25	Spectrogram 2	1	19.448377431	20.156071106	2316.698	5548.065	0.5224	3832.910	1507.324	MYLO	C4	LOLA	5
26	Spectrogram 1	1	20.450249654	21.435470261	1447.936	5005.722	0.8243	4134.375	1205.859	MYLO	C4	LOLA	5
26	Spectrogram 2	1	20.450249654	21.435470261	1447.936	5005.722	0.8359	4134.375	1162.793	MYLO	C4	LOLA	5
27	Spectrogram 1	1	21.498620671	21.859405682	1387.016	5690.323	0.2902	4737.305	1291.992	MYME	C1	LOLA	5
27	Spectrogram 2	1	21.498620671	21.859405682	1387.016	5690.323	0.2902	4737.305	1291.992	MYME	C1	LOLA	5
28	Spectrogram 1	1	21.842754066	21.973191724	1493.710	4907.903	0.0813	4306.641	1550.391	MYAX	C3	LOLA	5
28	Spectrogram 2	1	21.842754066	21.973191724	1493.710	4907.903	0.0813	4306.641	1679.590	MYAX	C3	LOLA	5
29	Spectrogram 1	1	22.528245587	22.775244556	1280.323	6294.919	0.1800	4651.172	1119.727	MYME|C1	C5	LOLA	
29	Spectrogram 2	1	22.528245587	22.775244556	1280.323	6294.919	0.1741	4608.105	1033.594	MYME|C1	C5	LOLA	
30	Spectrogram 1	1	23.257904567	23.638116463	2276.129	5512.500	0.2902	4478.906	775.195	MYLO	C2	LOLA	5
30	Spectrogram 2	1	23.257904567	23.638116463	2276.129	5512.500	0.2786	4478.906	818.262	MYLO	C2	LOLA	5
31	Spectrogram 1	1	23.385914949	23.613487033	1671.532	6045.968	0.1567	4565.039	947.461	MYME	C1	LOLA	5
31	Spectrogram 2	1	23.385914949	23.613487033	1671.532	6045.968	0.1625	4565.039	947.461	MYME	C1	LOLA	5
32	Spectrogram 1	1	24.157439819	24.643111949	1493.710	3271.935	0.4122	2411.719	344.531	THAR	B2	LOLA	5
32	Spectrogram 2	1	24.157439819	24.643111949	1493.710	3271.935	0.4063	2454.785	387.598	THAR	B2	LOLA	5
33	Spectrogram 1	1	24.634786142	24.898436727	1635.968	6117.097	0.1974	4737.305	947.461	MYME	C1	LOLA	5
33	Spectrogram 2	1	24.634786142	24.898436727	1635.968	6117.097	0.1974	4694.238	861.328	MYME	C1	LOLA	5
34	Spectrogram 1	1	24.984122081	25.600231870	1956.048	5725.887	0.5166	4651.172	1636.523	MYLO	C3	LOLA	5
34	Spectrogram 2	1	24.984122081	25.600231870	1956.048	5725.887	0.5224	4651.172	1679.590	MYLO	C3	LOLA	5
35	Spectrogram 1	1	25.589130792	25.800051260	2027.177	6081.532	0.1625	4737.305	861.328	MYME	C1	LOLA	5
35	Spectrogram 2	1	25.589130792	25.800051260	2027.177	6081.532	0.1625	4694.238	861.328	MYME	C1	LOLA	5
36	Spectrogram 1	1	25.947833384	26.502887247	1387.016	3058.548	0.4528	2497.852	516.797	THAR	B2	LOLA	5
36	Spectrogram 2	1	25.947833384	26.502887247	1387.016	3058.548	0.4528	2497.852	516.797	THAR	B2	LOLA	5
37	Spectrogram 1	1	26.169854929	27.249434693	2311.694	6045.968	0.8824	4823.438	1205.859	MYLO	C4	LOLA	5
37	Spectrogram 2	1	26.169854929	27.249434693	2311.694	6045.968	0.8940	4780.371	1205.859	MYLO	C4	LOLA	5
38	Spectrogram 1	1	26.974683031	27.155075536	3022.984	5156.855	0.1451	4737.305	947.461	MYME	C1	LOLA	5
38	Spectrogram 2	1	26.974683031	27.155075536	3022.984	5156.855	0.1393	4737.305	990.527	MYME	C1	LOLA	5
39	Spectrogram 1	1	27.934926214	28.284610148	1529.274	3271.935	0.2902	2497.852	172.266	THAR	B2	LOLA	5
39	Spectrogram 2	1	27.934926214	28.284610148	1529.274	3271.935	0.3019	2497.852	172.266	THAR	B2	LOLA	5
40	Spectrogram 1	1	28.465150681	28.704564915	2880.726	5299.113	0.1451	4995.703	689.062	MYLO	C5	LOLA	5
40	Spectrogram 2	1	28.465150681	28.704564915	2880.726	5299.113	0.1625	4995.703	732.129	MYLO	C5	LOLA	5
41	Spectrogram 1	1	29.312912559	29.642597733	2453.952	5050.161	0.2438	3703.711	947.461	MYLO	C1	LOLA	5
41	Spectrogram 2	1	29.312912559	29.642597733	2453.952	5050.161	0.2438	3660.645	990.527	MYLO	C1	LOLA	5
42	Spectrogram 1	1	29.340661112	29.776316521	2027.177	4623.387	0.3193	3703.711	1033.594	THAR	B2	LOLA	5
42	Spectrogram 2	1	29.340661112	29.776316521	2027.177	4623.387	0.3135	3746.777	1162.793	THAR	B2	LOLA	5
43	Spectrogram 1	1	30.016723057	30.263722026	2880.726	6294.919	0.1858	5081.836	1033.594	MYME	C1	LOLA	5
43	Spectrogram 2	1	30.016723057	30.263722026	2880.726	6294.919	0.1741	5081.836	1033.594	MYME	C1	LOLA	5
44	Spectrogram 1	1	30.573055693	31.220651571	2774.032	4445.565	0.5747	3962.109	689.062	MYLO	C2	LOLA	5
44	Spectrogram 2	1	30.573055693	31.220651571	2774.032	4445.565	0.5921	4048.242	775.195	MYLO	C2	LOLA	5
45	Spectrogram 1	1	30.600529457	31.095057219	1813.790	3307.500	0.4063	2583.984	344.531	THAR	B2	LOLA	5
45	Spectrogram 2	1	30.600529457	31.095057219	1813.790	3307.500	0.4063	2540.918	301.465	THAR	B2	LOLA	5
46	Spectrogram 1	1	31.412967923	31.730878627	2987.419	6863.952	0.1800	5081.836	1033.594	MYME	C1	LOLA	5
46	Spectrogram 2	1	31.412967923	31.730878627	2987.419	6863.952	0.1974	5211.035	1119.727	MYME	C1	LOLA	5
47	Spectrogram 1	1	35.828048227	36.471719282	2276.129	5725.887	0.5457	4651.172	1291.992	MYLO	C2	LOLA	5
47	Spectrogram 2	1	35.828048227	36.471719282	2276.129	5725.887	0.5457	4608.105	1248.926	MYLO	C2	LOLA	5
48	Spectrogram 1	1	36.389297988	36.699359045	1600.403	6223.790	0.2032	4909.570	1033.594	MYME	C1	LOLA	5
48	Spectrogram 2	1	36.389297988	36.699359045	1600.403	6223.790	0.1974	4780.371	861.328	MYME	C1	LOLA	5
49	Spectrogram 1	1	36.899525044	37.841482686	2453.952	6366.048	0.7198	4995.703	1291.992	MYLO	C4	LOLA	5
49	Spectrogram 2	1	36.899525044	37.841482686	2453.952	6366.048	0.7314	5081.836	1378.125	MYLO	C4	LOLA	5
50	Spectrogram 1	1	37.449000335	37.684489745	1102.500	6508.306	0.1858	5167.969	1550.391	MYME	C1	LOLA	5
50	Spectrogram 2	1	37.449000335	37.684489745	1102.500	6508.306	0.1974	5211.035	1593.457	MYME	C1	LOLA	5
51	Spectrogram 1	1	38.256410634	38.821585219	1422.581	2987.419	0.4296	2411.719	516.797	THAR	B2	LOLA	5
51	Spectrogram 2	1	38.256410634	38.821585219	1422.581	2987.419	0.4296	2411.719	473.730	THAR	B2	LOLA	5
52	Spectrogram 1	1	38.923630630	39.115946982	1778.226	6294.919	0.1277	4565.039	516.797	MYME	C1	LOLA	5
52	Spectrogram 2	1	38.923630630	39.115946982	1778.226	6294.919	0.1393	4608.105	602.930	MYME	C1	LOLA	5
53	Spectrogram 1	1	39.928385447	40.607379914	2027.177	5725.887	0.4818	4651.172	1291.992	MYLO	C2	LOLA	5
53	Spectrogram 2	1	39.928385447	40.607379914	2027.177	5725.887	0.4760	4608.105	1205.859	MYLO	C2	LOLA	5
54	Spectrogram 1	1	41.319079896	41.739036011	1600.403	3236.371	0.3309	2497.852	430.664	THAR	B2	LOLA	5
54	Spectrogram 2	1	41.319079896	41.739036011	1600.403	3236.371	0.3367	2454.785	344.531	THAR	B2	LOLA	5
55	Spectrogram 1	1	41.648765070	41.970600598	1884.919	6294.919	0.2148	5340.234	1550.391	MYME	C1	LOLA	5
55	Spectrogram 2	1	41.648765070	41.970600598	1884.919	6294.919	0.2206	5383.301	1593.457	MYME	C1	LOLA	5
56	Spectrogram 1	1	42.796258829	43.043522710	960.242	5370.242	0.1451	4995.703	689.062	MYAX	C5	LOLA	
56	Spectrogram 2	1	42.796258829	43.043522710	960.242	5370.242	0.1393	4952.637	559.863	MYAX	C5	LOLA	
57	Spectrogram 1	1	43.801013647	43.969781058	1422.581	6010.403	0.1103	4909.570	1550.391	MYME	C1	LOLA	5
57	Spectrogram 2	1	43.801013647	43.969781058	1422.581	6010.403	0.1161	4995.703	1679.590	MYME	C1	LOLA	5
58	Spectrogram 1	1	43.867735647	44.358338585	1778.226	3592.016	0.3947	2928.516	689.062	THAR	B2	LOLA	5
58	Spectrogram 2	1	43.867735647	44.358338585	1778.226	3592.016	0.3947	2928.516	689.062	THAR	B2	LOLA	5
59	Spectrogram 1	1	44.707647877	46.046012693	1248.926	6045.968	1.1029	4995.703	1636.523	MYLO	C4	LOLA	5
59	Spectrogram 2	1	44.707647877	46.046012693	1248.926	6045.968	1.1029	4952.637	1550.391	MYLO	C4	LOLA	5
60	Spectrogram 1	1	46.104885045	46.485592925	1564.839	6010.403	0.2670	4909.570	1033.594	MYME	C1	LOLA	5
60	Spectrogram 2	1	46.104885045	46.485592925	1564.839	6010.403	0.2786	4952.637	1076.660	MYME	C1	LOLA	5
61	Spectrogram 1	1	46.703795263	47.233646436	1507.324	3316.113	0.4470	2411.719	344.531	THAR	B2	LOLA	5
61	Spectrogram 2	1	46.703795263	47.233646436	1507.324	3316.113	0.4528	2411.719	344.531	THAR	B2	LOLA	5
62	Spectrogram 1	1	47.168508247	47.415772128	1033.594	4780.371	0.1916	4048.242	2756.250	MYAX	C5	LOLA	5
62	Spectrogram 2	1	47.168508247	47.415772128	1033.594	4780.371	0.1974	4091.309	2842.383	MYAX	C5	LOLA	5
63	Spectrogram 1	1	48.764327604	49.439397247	1981.055	6029.297	0.5921	4478.906	1119.727	MYLO	C2	LOLA	5
63	Spectrogram 2	1	48.764327604	49.439397247	1981.055	6029.297	0.5921	4435.840	1033.594	MYLO	C2	LOLA	5
64	Spectrogram 1	1	49.443322070	49.965323597	1291.992	2928.516	0.4122	2239.453	258.398	THAR	B2	LOLA	5
