Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Predicted Label	Classification Type	Model Probability	Fold
1	Spectrogram 1	1	2.0	4.0	0	22050	THAR_B1	false_negative	0.3617	4
2	Spectrogram 1	1	4.0	6.0	0	22050	THAR_B1	true_positive	0.8075	4
3	Spectrogram 1	1	6.0	8.0	0	22050	THAR_B1	true_positive	0.6169	4
4	Spectrogram 1	1	8.0	10.0	0	22050	THAR_B1	true_positive	0.6975	4
5	Spectrogram 1	1	10.0	12.0	0	22050	THAR_B1	true_positive	0.5307	4
6	Spectrogram 1	1	12.0	14.0	0	22050	THAR_B1	true_positive	0.7009	4
7	Spectrogram 1	1	14.0	16.0	0	22050	THAR_B1	true_positive	0.5828	4
8	Spectrogram 1	1	16.0	18.0	0	22050	THAR_B1	false_negative	0.3737	4
9	Spectrogram 1	1	18.0	20.0	0	22050	THAR_B1	true_positive	0.7591	4
10	Spectrogram 1	1	20.0	22.0	0	22050	THAR_B1	false_negative	0.4077	4
11	Spectrogram 1	1	22.0	24.0	0	22050	THAR_B1	true_positive	0.7369	4
12	Spectrogram 1	1	24.0	26.0	0	22050	THAR_B1	true_positive	0.8953	4
13	Spectrogram 1	1	26.0	28.0	0	22050	THAR_B1	true_positive	0.7558	4
14	Spectrogram 1	1	28.0	30.0	0	22050	THAR_B1	true_positive	0.6606	4
15	Spectrogram 1	1	30.0	32.0	0	22050	THAR_B1	true_positive	0.7485	4
16	Spectrogram 1	1	32.0	34.0	0	22050	THAR_B1	true_positive	0.7345	4
17	Spectrogram 1	1	34.0	36.0	0	22050	THAR_B1	true_positive	0.6335	4
18	Spectrogram 1	1	36.0	38.0	0	22050	THAR_B1	true_positive	0.6325	4
19	Spectrogram 1	1	38.0	40.0	0	22050	THAR_B1	true_positive	0.5578	4
20	Spectrogram 1	1	40.0	42.0	0	22050	THAR_B1	true_positive	0.663	4
21	Spectrogram 1	1	42.0	44.0	0	22050	THAR_B1	true_positive	0.5617	4
22	Spectrogram 1	1	44.0	46.0	0	22050	THAR_B1	true_positive	0.8012	4
23	Spectrogram 1	1	46.0	48.0	0	22050	THAR_B1	true_positive	0.4917	4
24	Spectrogram 1	1	48.0	50.0	0	22050	THAR_B1	false_negative	0.3073	4
25	Spectrogram 1	1	50.0	52.0	0	22050	THAR_B1	true_positive	0.5016	4
26	Spectrogram 1	1	52.0	54.0	0	22050	THAR_B1	true_positive	0.5772	4
27	Spectrogram 1	1	54.0	56.0	0	22050	THAR_B1	true_positive	0.5281	4
28	Spectrogram 1	1	56.0	58.0	0	22050	THAR_B1	true_positive	0.672	4
29	Spectrogram 1	1	58.0	60.0	0	22050	THAR_B1	true_positive	0.606	4
