Selection	Begin Time (s)	End Time (s)	View	Channel	Low Freq (Hz)	High Freq (Hz)	Error Type	Confidence	Fold
1	2.0	4.0	Spectrogram 1	1	0	22050	false_negative	0.2303392680791622	2
2	16.0	18.0	Spectrogram 1	1	0	22050	false_negative	0.2824303974940484	2
3	20.0	22.0	Spectrogram 1	1	0	22050	false_negative	0.27648741652894493	2
4	48.0	50.0	Spectrogram 1	1	0	22050	false_negative	0.2506379502925041	2
5	4.0	6.0	Spectrogram 1	1	0	22050	true_positive	0.9542021183130974	2
6	6.0	8.0	Spectrogram 1	1	0	22050	true_positive	0.8692340896239142	2
7	8.0	10.0	Spectrogram 1	1	0	22050	true_positive	0.8869813406909708	2
8	10.0	12.0	Spectrogram 1	1	0	22050	true_positive	0.6309305698538806	2
9	12.0	14.0	Spectrogram 1	1	0	22050	true_positive	0.9239776776897288	2
10	14.0	16.0	Spectrogram 1	1	0	22050	true_positive	0.8347391151926669	2
11	18.0	20.0	Spectrogram 1	1	0	22050	true_positive	0.9659960250857526	2
12	22.0	24.0	Spectrogram 1	1	0	22050	true_positive	0.8625594073547581	2
13	24.0	26.0	Spectrogram 1	1	0	22050	true_positive	0.9941471100321306	2
14	26.0	28.0	Spectrogram 1	1	0	22050	true_positive	0.9424213281280657	2
15	28.0	30.0	Spectrogram 1	1	0	22050	true_positive	0.8412092026348034	2
16	30.0	32.0	Spectrogram 1	1	0	22050	true_positive	0.9334688808731365	2
17	32.0	34.0	Spectrogram 1	1	0	22050	true_positive	0.8817512482091023	2
18	34.0	36.0	Spectrogram 1	1	0	22050	true_positive	0.8359407059651676	2
19	36.0	38.0	Spectrogram 1	1	0	22050	true_positive	0.7230171680920008	2
20	38.0	40.0	Spectrogram 1	1	0	22050	true_positive	0.5872824587685994	2
21	40.0	42.0	Spectrogram 1	1	0	22050	true_positive	0.8863323904596467	2
22	42.0	44.0	Spectrogram 1	1	0	22050	true_positive	0.7448924790073119	2
23	44.0	46.0	Spectrogram 1	1	0	22050	true_positive	0.9568061861243393	2
24	46.0	48.0	Spectrogram 1	1	0	22050	true_positive	0.5301764427025222	2
25	50.0	52.0	Spectrogram 1	1	0	22050	true_positive	0.5876988357915782	2
26	52.0	54.0	Spectrogram 1	1	0	22050	true_positive	0.7240516449936355	2
27	54.0	56.0	Spectrogram 1	1	0	22050	true_positive	0.6610860483115463	2
28	56.0	58.0	Spectrogram 1	1	0	22050	true_positive	0.7475075662346485	2
29	58.0	60.0	Spectrogram 1	1	0	22050	true_positive	0.7722623701415673	2
